English,Bengali
A,ক
A BAD EGG,ফালতু লোক
A BETTER,একটি ভাল
A BIT OF,অল্প পরিমাণে
A BODY,আমার স্নাতকের
A BOIL,একটা ফোঁড়া
A BON MARCHE,সস্তায়
A CHINESE,চীনের
A COMMISSION AGENT,দালাল
A COUPLE OF,কিছু সংখ্যক
A FEW,কিছু
A FOOL'S ERRAND,অনর্থক হয়রানি
A FORTIORI,কঠিনতর যুক্তিসহকারে
A GLANCE,এক নজর
A GOOD DEAL,একটি ভালো চুক্তি
A GREAT DEAL,দারুন চুক্তি
A HARD NUT TO CRACK,কঠিন সমস্যা
A HEAP OF,এক গাদা
A HEART OF STONE,পাষাণহৃদয়
A HORIZON,একটি দিগন্ত
A HUNDRED TIMES,একশ বার
A KIND OF BINOCULARS,দূরবিনবিশেষ
A KIND OF CLAM,ক্ল্যাম এক ধরনের
A KIND OF REED,রিড এক ধরনের
A KIND OF WILD REED,ওয়াইল্ড রিড এক ধরনের
A LA,একটি লা
A LA CARTE,খাদ্যতালিকা অনুযায়ী
A LA KING,একটি লা রাজা
A LA MODE,লোকাচার অনুসারে
A LETTER OF ACCEPTANCE,স্বীকৃতিপত্র
A LEVEL,একটি স্তর
A LIMB OF LAW,আইনজীবী
A LIMB OF THE DEVIL,বিচ্ছু ছেলে
A LIST,একটি তালিকা
A LITTLE,একটু
A LITTLE BOY,পোঁটা
A LONG TIME,অনেক দিন
A LONG TIME AGO,অনেক দিন আগে
A LOT,অনেক
A LOT OF,অনেক
A MEASURE OF TIME,অনুপল
A MEAT TEA,সান্ধ্যভোজ
A MINOR,একজন সংখ্যালঘু
A MOVE ON,তাড়াতাড়ি করা
A ONE,একটি
A PAIR,একজোড়া
A PAIR OF UNDERPANTS,আন্ডারপ্যান্ট একজোড়া
A PIECE OF CAKE,এক টুকরো পিঠা
A POSTERIORI,একটি পোস্টাররি
A PRIORI,অবরোহী
A QUARTER,এক চতুর্থাংশ
A RIOT OF,প্রাচুর্য
A RUNNING BLOW,অবিশ্রান্ত
A SKIP,বয়কট
A SLOPE,একটি ঢাল
A STONE'S THROW,সন্নিকটে
A TRIFLE,একটি তুচ্ছ বিষয়
A WHALE OF A,অঢেল
A WHILE,কিছুক্ষণ
A YOUNG GIRL,তরুণী
A'MAN,একজন মানুষ
A-,অপ-
A-B-C BOOK,এ-বি-সি বই
A-BE,একটি হতে
A-BOMB,একটি বোমা
A-GOING,চালু
A-SEA,একটি সমুদ্র
A-SHARP,একটি ধারালো
A-TIPTOE,একটি ডিঙ্গা
A.M.,সকাল
AA,আ
AAA,আআআ
AAH,আরে
AAHED,আহেদ
AAHING,আহিং
AAHS,আহস
AAL,আল
AALII,আলি
AALIIS,আলি
AAM,আম
AANI,আনি
AARDVARK,একটি নলাকার ধরণ মুখের এবং একটি দীর্ঘ জিহ্বা দিয়ে স্তন্যপায়ী
AARGH,আর্গ
AARON,অ্যারন
AARON'S ROD,হারোণের যষ্টি
AARONIC,অ্যারোনিক
AARONICAL,স্বরধ্বনিমূলক
AARONITIC,অ্যারোনিটিক
AARRGHH,আরাগ
AAS,আশ
AB,অব-
AB INITIO,প্রথমাবধি
AB INVITO,অনিচ্ছুকভাবে
AB-,অপ
ABA,আরবদের ব্যবহার্য হাতাবিহীন পোশাক বিশেষ
ABABDEH,আবাদেহ
ABABUA,আবাবুয়া
ABAC,আবাক
ABACA,আবাকা
ABACAS,গণনা যন্ত্রবিশেষ
ABACATE,নিরাশ হওয়া
ABACAXI,অ্যাবাকাক্সি
ABACAY,অ্যাবাকে
ABACI,গণনা-যন্ত্রবিশেষ
ABACINATE,নিরস্ত করা
ABACINATION,ক্ষয়
ABACISCUS,অ্যাবাসিস্কাস
ABACIST,অবাধ্য
ABACK,পশ্চাতে
ABACLI,আবাকলি
ABACOT,অ্যাবাকট
ABACTERIAL,জীবাণুমুক্ত
ABACTINAL,অ্যাব্যাকটিনাল
ABACTINALLY,অক্ষতভাবে
ABACTION,গোগ্রহ
ABACTOR,গোরু-চোর
ABACTORS,গোরু-চোর
ABACULI,আবাকুলী
ABACULUS,ব্যঙ্গাত্মক
ABACUS,গণনা-যন্ত্রবিশেষ
ABACUS MAJOR,স্তম্ভশীর্ষফলক প্রধান
ABACUSES,গণনা-যন্ত্রবিশেষ
ABADA,আবদা
ABADDON,নরক
ABADEJO,আবাদেজো
ABADENGO,আবডেঙ্গো
ABADIA,আবদিয়া
ABADITE,আবাদিতে
ABAFT,পিছনে
ABAISANCE,অসহায়ত্ব
ABAISED,অপমানিত
ABAISER,আবাসিক
ABAISSE,আবাসে
ABAISSED,অপমানিত
ABAKA,আবাকা
ABALATION,ক্ষয়ক্ষতি
ABALIENATE,অযোগ্য
ABALIENATED,অসম্পূর্ণ
ABALIENATING,অবনতিকর
ABALIENATION,অবনমন
ABALONE,ঝিনুক
ABALONES,ঝিনুক
ABAMA,আবামা
ABAMPERES,অ্যাবাম্পিয়ার
ABAND,পরিত্যাগ করা
ABANDED,পরিত্যক্ত
ABANDON,পরিত্যাগ করা
ABANDON ONESELF,সম্পূর্ণভাবে আত্মসমর্পণ করা
ABANDON ONESELF TO,নিজেকে সঁপে
ABANDONABLE,পরিত্যক্ত
ABANDONED,পরিত্যক্ত
ABANDONED INFANT,পরিত্যক্ত শিশু
ABANDONED PERSON,পরিত্যক্ত ব্যক্তি
ABANDONED SHIP,পরিত্যক্ত জাহাজ
ABANDONEDLY,পরিত্যক্তভাবে
ABANDONEE,পরিত্যক্ত ব্যক্তি
ABANDONER,পরিত্যাগকারী
ABANDONERS,পরিত্যাগকারীরা
ABANDONING,পরিত্যাগ করা
ABANDONMENT,পরিত্যাগ
ABANDONMENTS,পরিত্যাগ
ABANDONS,পরিত্যাগ করে
ABANDUM,পরিত্যাগ করা
ABANGA,আবাঙ্গা
ABANNITION,বর্জন
ABARTICULATION,মলত্যাগ
ABASE,মানহানি করা
ABASE ONESELF,নিজেকে হীন করা
ABASED,অপমানিত
ABASEDLY,অবমাননাকরভাবে
ABASEDNESS,হীনতা
ABASEMENT,অপমান
ABASEMENTS,অপমান
ABASER,সর্বাধিক সম্ভ্রান্ত যে সর্বাধিক
ABASERS,অবমাননাকর
ABASES,ইচ্ছা লাঞ্ছিত করেন
ABASH,লাজুক
ABASHED,লজ্জিত
ABASHEDLY,লজ্জাজনকভাবে
ABASHEDNESS,লজ্জা
ABASHES,লজ্জা দেত্তয়া
ABASHING,লজ্জা দেত্তয়া
ABASHLESS,নির্লজ্জ
ABASHLESSLY,নির্লজ্জভাবে
ABASHMENT,বিহ্বলতা
ABASHMENTS,বিহ্বলতা
ABASIA,আবাসিয়া
ABASIAS,আবাসিয়াস
ABASIC,অশ্লীল
ABASING,লাঞ্ছনাদায়ক
